"BehaviorSpace results (NetLogo 5.2.1)"
"irrigame_comm.nlogo"
"CoV - socval-F-baseline"
"06/07/2017 11:37:36:566 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1","1","-1","1"
"[run number]","umin","sharerandom","mu","shareselfish","scenario","lambda","stdev-random","psat","visioneffect","gammawatercol","phase2?","mean-expC","Variability","comlimscore","alpha","limcom","beta","lambda-inv","lambda-ext","[step]","infrastructure","gini-ext"
"13","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","9","100","0.05714285714285714"
"12","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","6","87","0.05714285714285714"
"11","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","5","67","0.05714285714285714"
"13","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","10","100","0.05714285714285714"
"12","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","88","0.05714285714285714"
"14","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"11","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","6","68","0.05714285714285714"
"11","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","69","0.05714285714285714"
"12","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","8","89","0.05714285714285714"
"11","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","8","70","0.05714285714285714"
"12","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","9","90","0.05714285714285714"
"14","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","95","0.2"
"14","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","90","0.2"
